ID,BaseDamage,CoinValue,CoinCount,SinType,AttackType,DefenseType
FA_SKILL_01,3,7,1,Pride,Blunt,None
FA_SKILL_02,5,4,2,Sloth,Blunt,None
FA_SKILL_03,7,2,2,Glut,Pierce,None
FA_SKILL_Evade,2,10,1,Pride,None,Evade
LS_SKILL_01,4,7,1,Gloom,Slash,None
LS_SKILL_02,4,4,2,Envy,Pierce,None
LS_SKILL_03,6,2,3,Sloth,Slash,None
LS_SKILL_Guard,7,3,1,Gloom,None,Guard
HL_SKILL_01,4,7,1,Pride,Blunt,None
HL_SKILL_02,4,4,2,Sloth,Slash,None
HL_SKILL_03,6,4,2,Lust,Blunt,None
HL_SKILL_Evade,2,10,1,Sloth,None,Evade
OT_SKILL_01,3,2,3,Sloth,Pierce,None
OT_SKILL_02,5,4,2,Pride,Slash,None
OT_SKILL_03,7,14,1,Gloom,Pierce,None
OT_SKILL_Evade,2,10,1,Sloth,None,Evade
RD_SKILL_01,4,7,1,Glut,Slash,None
RD_SKILL_02,4,4,2,Pride,Slash,None
RD_SKILL_03,4,2,4,Wrath,Slash,None
RD_SKILL_Counter,7,4,1,Wrath,None,Counter
EN_SKILL_01,2,1,3,Pride,Blunt,None
EN_SKILL_02,3,4,2,Sloth,Blunt,None
EN_SKILL_03,3,2,3,Wrath,Blunt,None
EN_SKILL_Counter,3,7,1,Sloth,None,Counter
